Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Atuna_indica,0.973,0.0,0.1,0.0,0.1,0.0,0.0,40.6,0.5,0.0,0.0,0.0,0.3,0.0,15.0,0.0,1.0,0.3,1.2,11.8,29.1
Atuna_travancorica,0.912,0.0,7.0,0.0,0.0,4.3,0.0,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.1,0.0,0.0
Baccaurea_courtallensis,0.974,0.0,0.5,5.3,0.5,0.0,1.1,1.5,0.1,0.0,0.0,1.5,0.2,0.0,0.3,0.4,1.0,5.8,14.5,44.8,22.5
Beddomea_indica,0.995,0.0,0.0,9.3,0.0,0.0,0.0,39.7,4.2,0.0,0.0,0.0,0.6,0.0,12.1,0.1,0.0,4.0,0.1,11.6,18.2
Beilschmiedia_dalzellii,0.897,1.4,1.5,1.7,1.7,0.1,3.0,5.8,1.5,0.0,1.9,2.5,2.8,14.3,1.0,1.1,34.1,0.7,8.1,2.2,14.8
Beilschmiedia_wightii,0.979,0.0,0.2,0.1,0.6,0.0,0.0,0.5,15.0,6.9,0.0,0.1,34.0,0.0,3.5,2.5,2.0,0.0,0.0,29.6,5.0
Bhesa_indica,0.975,1.0,2.0,1.9,8.8,37.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0,0.0,2.3,0.2,0.6,0.0
Bischofia_javanica,0.937,0.0,2.2,3.4,1.4,0.0,7.4,0.0,6.4,1.8,6.9,0.1,0.0,0.2,3.0,3.3,23.2,0.1,1.1,36.0,3.7
Blachia_calycina,1.0,0.0,0.0,0.0,1.1,0.0,7.0,3.9,0.1,0.0,1.1,0.0,0.0,2.2,17.4,0.1,20.6,5.5,2.2,29.6,9.3
Blachia_denudata,0.955,0.0,0.6,3.2,0.9,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.5,4.1,1.0,16.0,41.5,0.8,11.4,6.5,12.8
Blepharistemma_serratum,0.948,0.0,7.2,0.0,0.1,0.8,2.8,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3.5,7.1,35.2
Bombax_ceiba,0.926,0.0,0.3,0.0,0.0,0.0,6.8,0.0,0.0,3.3,0.0,2.1,22.8,0.1,24.8,7.5,0.0,0.1,22.1,6.7,3.3
Bridelia_stipularis,0.978,0.0,0.0,0.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.1,55.9,0.0,0.0,29.0,4.6,1.3
Callicarpa_tomentosa,0.909,0.0,0.6,8.9,0.1,0.0,5.2,0.0,0.4,0.0,0.0,0.0,24.8,7.7,1.6,1.4,28.2,0.0,10.2,4.7,6.1
Calophyllum_apetalum,0.975,1.7,0.0,12.1,7.3,0.0,0.0,0.8,6.9,0.0,5.2,0.7,0.0,34.1,4.4,0.0,3.3,0.0,1.0,12.0,10.4
Calophyllum_austroindicum,0.971,0.0,26.5,0.0,2.3,15.5,0.0,26.6,0.0,0.0,6.6,0.0,0.0,0.0,21.5,0.0,0.0,0.0,1.1,0.0,0.0
Calophyllum_tomentosum,0.948,0.0,0.1,27.1,0.6,0.2,0.4,0.4,0.0,0.8,0.7,5.0,14.0,0.2,0.1,0.0,0.1,1.4,0.1,12.4,36.4
Canarium_strictum,0.944,0.0,0.4,14.4,1.4,0.0,3.8,5.3,0.5,0.1,3.9,0.0,22.5,7.4,10.0,1.2,0.1,0.4,2.3,11.8,14.4
Canthium_rheedei,0.986,0.0,1.2,5.7,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,10.4,0.0,45.6,0.0,0.0,24.0,5.1,7.4
Capparis_baducca,0.943,0.0,18.5,0.0,28.9,0.0,0.0,0.0,0.0,0.2,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,38.8
Capparis_rotundifolia,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,61.3,0.0,0.0,0.0,10.3,26.8
Carallia_brachiata,0.899,0.0,0.3,0.0,7.5,0.0,0.5,3.7,1.7,0.1,0.0,0.0,6.3,0.0,0.0,0.6,63.9,1.0,3.1,3.3,8.0
Carissa_carandas,0.978,0.0,0.0,2.0,0.0,0.0,0.0,1.4,0.1,0.0,0.0,0.3,0.1,14.0,0.1,63.1,0.0,0.0,11.9,2.6,4.3
Carissa_spinarum,0.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,93.4,0.0,0.0,0.0,1.1,0.0
Caryota_urens,0.862,0.0,0.0,6.3,0.6,0.0,0.0,0.3,0.0,0.0,0.0,1.0,35.4,6.7,2.4,1.8,7.9,0.0,4.7,0.8,32.1
Casearia_ovata,0.891,0.3,5.0,6.7,10.4,4.4,5.9,0.5,4.3,0.0,1.1,0.0,43.4,1.8,2.0,0.3,2.7,0.6,1.4,1.3,8.1
Casearia_rubescens,0.962,2.4,2.7,2.0,0.0,6.1,4.0,9.9,8.5,0.0,22.2,0.7,18.7,0.0,5.8,4.8,0.6,0.0,1.7,9.0,0.9
Casearia_wynadensis,0.99,0.0,0.0,2.2,0.0,0.0,0.4,2.0,5.5,3.6,0.0,7.2,8.9,0.2,2.5,2.7,11.5,4.7,0.0,47.0,1.4
Cassine_paniculata,0.922,0.0,0.1,0.0,0.0,0.0,0.5,0.0,16.1,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,11.1,59.0
Celtis_philippensis,0.948,0.0,0.0,12.5,0.1,0.0,0.0,0.0,0.2,0.3,0.0,0.0,5.0,20.2,14.1,2.1,26.3,0.5,14.9,3.9,0.0
Celtis_timorensis,0.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,81.0
Chassalia_curviflora,0.925,0.0,0.5,0.0,0.0,0.0,0.0,58.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4
Chionanthus_courtallensis,0.985,0.0,0.0,1.4,5.4,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,86.7,3.4,0.0,0.0,0.0,0.0,0.0
Chionanthus_mala-elengi,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,0.0,0.0,1.5,43.2,0.0
